antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Calm'}),frozenset({'Energetic'}),1.0,0.9433962264150944,0.9433962264150944,0.9433962264150944,1.0,1.0,0.0,1.0,0.0,0.9433962264150944,0.0,0.9716981132075472
frozenset({'Energetic'}),frozenset({'Calm'}),0.9433962264150944,1.0,0.9433962264150944,1.0,1.0,1.0,0.0,inf,0.0,0.9433962264150944,0.0,0.9716981132075472
frozenset({'Happy'}),frozenset({'Calm'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'Calm'}),frozenset({'Happy'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'Melancholic'}),frozenset({'Calm'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'Calm'}),frozenset({'Melancholic'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'Happy'}),frozenset({'Energetic'}),1.0,0.9433962264150944,0.9433962264150944,0.9433962264150944,1.0,1.0,0.0,1.0,0.0,0.9433962264150944,0.0,0.9716981132075472
frozenset({'Energetic'}),frozenset({'Happy'}),0.9433962264150944,1.0,0.9433962264150944,1.0,1.0,1.0,0.0,inf,0.0,0.9433962264150944,0.0,0.9716981132075472
frozenset({'Melancholic'}),frozenset({'Energetic'}),1.0,0.9433962264150944,0.9433962264150944,0.9433962264150944,1.0,1.0,0.0,1.0,0.0,0.9433962264150944,0.0,0.9716981132075472
frozenset({'Energetic'}),frozenset({'Melancholic'}),0.9433962264150944,1.0,0.9433962264150944,1.0,1.0,1.0,0.0,inf,0.0,0.9433962264150944,0.0,0.9716981132075472
frozenset({'Happy'}),frozenset({'Melancholic'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'Melancholic'}),frozenset({'Happy'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'Happy', 'Calm'})",frozenset({'Energetic'}),1.0,0.9433962264150944,0.9433962264150944,0.9433962264150944,1.0,1.0,0.0,1.0,0.0,0.9433962264150944,0.0,0.9716981132075472
"frozenset({'Energetic', 'Calm'})",frozenset({'Happy'}),0.9433962264150944,1.0,0.9433962264150944,1.0,1.0,1.0,0.0,inf,0.0,0.9433962264150944,0.0,0.9716981132075472
"frozenset({'Happy', 'Energetic'})",frozenset({'Calm'}),0.9433962264150944,1.0,0.9433962264150944,1.0,1.0,1.0,0.0,inf,0.0,0.9433962264150944,0.0,0.9716981132075472
frozenset({'Calm'}),"frozenset({'Happy', 'Energetic'})",1.0,0.9433962264150944,0.9433962264150944,0.9433962264150944,1.0,1.0,0.0,1.0,0.0,0.9433962264150944,0.0,0.9716981132075472
frozenset({'Happy'}),"frozenset({'Energetic', 'Calm'})",1.0,0.9433962264150944,0.9433962264150944,0.9433962264150944,1.0,1.0,0.0,1.0,0.0,0.9433962264150944,0.0,0.9716981132075472
frozenset({'Energetic'}),"frozenset({'Happy', 'Calm'})",0.9433962264150944,1.0,0.9433962264150944,1.0,1.0,1.0,0.0,inf,0.0,0.9433962264150944,0.0,0.9716981132075472
"frozenset({'Melancholic', 'Calm'})",frozenset({'Energetic'}),1.0,0.9433962264150944,0.9433962264150944,0.9433962264150944,1.0,1.0,0.0,1.0,0.0,0.9433962264150944,0.0,0.9716981132075472
"frozenset({'Energetic', 'Calm'})",frozenset({'Melancholic'}),0.9433962264150944,1.0,0.9433962264150944,1.0,1.0,1.0,0.0,inf,0.0,0.9433962264150944,0.0,0.9716981132075472
